epoch,acc,loss,val_acc,val_loss
0,0.9204814814284996,0.2610908633669217,0.9728333334922791,0.09324062993129094
1,0.9670925926455745,0.10714646964161484,0.9733333328564961,0.08559719767173131
2,0.9758518518695125,0.07692596520538683,0.9811666668256124,0.08040695107852419
3,0.9813888888535676,0.06250274003904174,0.9823333328564962,0.06857101625700791
4,0.9849999999470181,0.050552014474515565,0.9826666668256124,0.06855115795849512
5,0.9864814815168027,0.044107821421214825,0.9808333328564962,0.08239005519946416
6,0.9890370370546977,0.03809943973755947,0.9821666668256124,0.08604343875388926
7,0.9895185184655366,0.03489770352143656,0.9801666661898295,0.09082488947516928
8,0.9902592592592593,0.03127981450222433,0.9829999995231629,0.08431257481686771
9,0.9917037037390249,0.028019411659747775,0.9825000001589457,0.08232217012780409
10,0.9924814814814815,0.026857024801877776,0.9834999995231628,0.08292979267070769
11,0.9923148148148148,0.026076639385238565,0.9833333328564962,0.08825546570125638
12,0.9934074073544255,0.023128655196178308,0.985333333492279,0.07898355474388033
13,0.9935370370546976,0.023351021261506334,0.9844999995231628,0.09362157860018003
14,0.9943703703703703,0.020354551853109755,0.9856666668256124,0.08486783481089635
15,0.9942962962433144,0.020302559117243314,0.9834999995231628,0.09931427146572969
16,0.9952962962433144,0.01711280598219579,0.9838333328564962,0.09520652897124697
17,0.9944259259435866,0.02039114732306485,0.9859999995231629,0.09282764861417521
18,0.9950185185185185,0.017612431977519816,0.9844999995231628,0.09189245299826022
19,0.9952777777777778,0.01717456037788307,0.9856666661898295,0.09192670684296779
